9,'Defect reports will be available to technical units on a 24x7 basis.',A
3,'The system shall achieve 95% up time.',A
8,'The website shall achieve 99.5% up time.',A
13,'The WCS system shall be available at all times as long as IBM\92s internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM\92s internal intranet W3 is available.',A
48,'The MTBF (if any) should not be less than 2 months.',A
21,'Programmers and application developers will have access to source code to address bugs or system enhancements as deemed necessary. Network Administrator and DBA support is also required to maintain a 24x7 system uptime.',A
5,'The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.',A
11,'The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.',A
36,'The system shall be available 99.5% of the time.',A
33,'The website is available whenever the users want to use it.',A
11,'The system must be available for use between 7:00AM and 11:59PM all days of the year.',A
2,'The product shall be available for use 24 hours per day 365 days  per year',A
10,'The product shall be available 24 hours per day  seven days per week.',A
2,'Out of 1000 accesses to the system the system is available 999 times.',A
24,'The application should be connected to the Internet.',A
24,'The application should be connected to the GPS device.',A
46,'The system shall provide a contractual agreement with an internet service provider who can provide 99.999% availability through their network facilities onto the internet.',A
1,'The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.',A
8,'The system will provide a 24 hour 800 toll free number for support to its customers.',A
14,'The application shall have a downtime of at most 10 minutes per year.',A
19,'All the functions of the system must be available to the user every time the system is turned on.',A
8,'Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.',A
5,'The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.',A
46,'The system shall provide a contractual agreement with an internet service provider for T3 access with 99.9999% availability.',A
18,'A meeting scheduler system will temporarily reserve the “time slots” for the proposed meeting.',F
3,'Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.',F
45,'The system shall give the mediator privileges to schedule location and equipment resources.',F
46,'The system shall display the most frequently searched items by the user in the profile.',F
3,'The system shall be able to display a printable summary of the system log.',F
16,'The system shall support the ability to perform a receive only operation.',F
46,'The system shall display the orders that are eligible to change.',F
32,'A user must be logged on to be able to view or edit any medical information.',F
3,'Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.',F
33,'The system should ask the user to key in the pickup date.',F
4,'The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.',F
5,'The user shall enter new ratings based on the audit report',F
46,'The system shall allow user to select the support type he wants.',F
45,'The system shall allow users to send and receive messages.',F
38,'View the details of all employees and control the whole site.',F
10,'For each shot  the product shall notify the players whether the shot was a hit or miss.',F
46,'The system shall enable user to select multiple options on the screen to search.',F
5,'The preferred repair facility ratings shall be saved by the system.',F
7,'PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.',F
8,'All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.',F
4,'The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.',F
6,'The product shall record all the equipment that has been reserved.',F
30,'Authenticate and Login user to the web app.',F
10,'The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player\92s ships  which had not been previously marked as sunk.',F
6,' Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.',F
30,'Enable a logged in user to post answers.',F
16,'The system shall allow a text search that users may use to find mail messages.',F
10,'The notification of the game ending will include the reason the game is ended (i.e.  a player has won the game or a player has ended the game).',F
8,'The website will allow customers to search for movies by title  actor  or director.',F
3,'Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study',F
10,'The product shall allow a player to position ships horizontally on their grid.',F
45,'The system shall allow users to view other users’ information.',F
18,'The meeting scheduler system may suggest a “virtual meeting” for available “time slots” if no location is available or feasible for the meeting.',F
4,'The Disputes System shall provide update access capability for authorized users of the application.',F
1,'The system shall display the Events in a graph by time.',F
32,'Each account must have a separate identifying account number.',F
5,'The audit report shall include the total score of the audit which sums the indivual line items.',F
10,'For each turn  the product shall allow the offensive player to define a shot.',F
5,'The user shall select to save the preferred repair facility ratings.',F
6,'The product will update existing room equipment.',F
6,'The product shall store new conference rooms.',F
5,'The current repair facility ratings shall be displayed to the user.',F
5,'The system shall search for available recycled parts for the supplied vehicle parts and suppliers.',F
2,'The system shall display clear property images in the search results',F
3,'The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.',F
45,'The system shall request a user response to initiator or mediator messages.',F
8,'Website shall allow customers to browse movies by categories entered in by izogn administrator.',F
30,'Enable the admin to generate reports which contains all the posts and their corresponding replies.',F
3,'The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohort\92s program of study and changes to a given week\92s schedule (lab cancelled this week due to instructor illness).',F
38,'Provide feasible solutions to the customers on their complaints and queries.',F
16,'The system search feature should support the use of regular expressions in search.',F
3,'Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes',F
32,'It must be able to download the most recent medical record.',F
3,'Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section  including the clinical site name the department/section for the lab  the class instructor day and time of lab and contact information.',F
3,'A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.',F
10,'Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.',F
38,'Taking permission from the Administrator for the product to be purchased from vendor.',F
3,'A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.',F
5,'The user shall select to view the preferred repair facility ratings.',F
46,'The system shall allow user to update the profile information.',F
7,'PME Subsystem shall allow for a product to exist in more than one submenu',F
3,'Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.',F
33,'The system should require the user to state time when should the doughnut be delivered.',F
16,'The system shall support the ability to perform a send and receive operation.',F
10,'The product shall remove players who have been inactive for 24 hours from the list of players.',F
42,'New and Delete buttons will allow the physician/pharmacist to add a notation to the patient’s file.',F
42,'Icons will clearly illustrate the feature it represents.',F
10,'The product shall allow a player to initiate a game by selecting another available player from the list of players.',F
6,'The product shall update existing conference rooms.',F
3,'Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.',F
4,'The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.',F
8,'System will allow customers to pay for a streaming movie with a pre-paid card.',F
33,'The system should take the customer name.',F
1,'The system shall allow modification of the display.',F
42,'Each entry is shown in full.',F
3,'Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.',F
46,'The system shall allow user to register for newsletters and surveys in the profile.',F
10,'For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.',F
10,'The product shall prevent a player from viewing the offensive or defensive grids of the other player.',F
3,'A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.',F
38,'Customer must logout of the site after purchasing products.',F
3,'The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.',F
3,'The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members\92 planning purposes.',F
6,'The product shall have an intuitive user interface.',F
4,'The Disputes System shall provide view access capability for authorized users of the application.',F
45,'The system shall allow the mediator to solve a date conflict.',F
4,'The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.',F
45,'The system shall allow user to specify custom meeting locations.',F
3,'A cohort shall be associated to one Program of Study offered by the department.',F
5,'The audit report shall include the total number of recycled parts used in the estimate.',F
46,'The system shall allow user to select the order to be changed.',F
17,'The system shall debit the user’s account upon withdrawal of funds.',F
32,'Information should be tagged according to who is entering the data.',F
9,'If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.',F
3,'Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site  including the clinical site name  site contact person  contact information  and address.',F
26,'The system should maintain correct schedules of labs and the documentation of all the lab equipment.',F
3,'A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.',F
3,'The report of needed classes shall include (but not be limited to) classes to be offered  number of sections needed  number of labs needed  and room types needed.',F
3,'The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.',F
46,'The system shall allow user to enter the contact number for support personnel to call.',F
2,'Realtor shall be able to generate a CMA report based on property criteria',F
32,'It must allow a user to logout.',F
6,'The product shall display a map of the company building showing conference room locations.',F
46,'The system shall allow user to view detailed sitemap.',F
38,'Can consult with the Administrator regarding product’s quality and advertisements.',F
6,'The product will display an available status for unreserved conference rooms.',F
4,'The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.',F
6,'The product shall allow an organizer to invite other employees to meetings.',F
4,'The Disputes System must provide the ability to view existing dispute cases.',F
3,'The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.',F
30,'Enable new users to register to the tech support system.',F
2,'The realtor shall be able to retrieve a map showing property locations for a specified area',F
32,'It must allow a user to download a backup of their medical information.',F
46,'The system shall provide shopping cart during online purchase.',F
6,'The product will notify employees of meeting invitations.',F
10,'When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.',F
9,'The leads washing functionality will validate all leads received by the web service for valid data',F
2,'The system shall notify the realtor when a seller or buyer responds to an appointment request',F
9,'If the leads score falls within the low average then it will be returned to the supplying vendor',F
1,'The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table',F
4,'All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.',F
3,'A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.',F
32,'Information recorded must include an optional field for context.',F
46,'The system shall display only 10 matching result on the current screen.',F
9,'The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.',F
5,'The vehicle location shall include street address city state and zipcode',F
18,'A meeting scheduler system will inform the “potential meeting participant” of the meeting.',F
1,'The system shall filter data by: Venues and Key Events.',F
8,'Website shall request  and authorize credit card payment before allowing a user to stream a movie.',F
38,'Keep track of each product item’s stocks for selling purpose.',F
45,'The system shall allow the user to modify the date preference set of an already submitted meeting response.',F
45,' The system shall allow the user to modify the location preference set of an already submitted meeting response.',F
5,'The search radius shall be between 1 and 30 miles',F
5,'The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.',F
3,'For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.',F
45,'The system shall allow the initiator to view the information of any meetings which they initiated.',F
6,'The product shall send a meeting confirmation to the meeting organizer.',F
46,'The system shall enable user to select the shipping method during payment process.',F
46,'The system shall display the shipping charges.',F
45,'The system shall allow the initiator to send and receive messages from users.',F
1,'The system shall allow a user to define the time segments',F
9,'The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.',F
7,'The System shall allow entering  storing and modifying product formulas.',F
10,'When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player.',F
3,'Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.',F
33,'The system should keep the customer contact number.',F
6,'The product will record meeting acknowledgements.',F
46,'The system shall display detailed product categorization to the user.',F
9,'The leads washing functionality shall receive a period list of available reps from the enterprise system.',F
1,'The system shall display Events or Activities.',F
1,'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',F
46,'The system shall optionally allow user to print the invoice.',F
6,'The product shall be able to send meeting notifications via different kinds of end-user specified methods.',F
9,'The leads washing functionality will compile both contact and academic scoring information for a total score.',F
46,'The system shall display detailed information of the selected products.',F
5,'The adjuster shall review the collision estimate.',F
5,'The estimator shall search for available recycled parts using a list of preferred parts suppliers.',F
46,'The system shall notify the user when no matching product is found on the search.',F
3,'A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.',F
3,'A class shall be either a non-clinical class or a clinical class.',F
4,'The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.',F
46,'The system shall display all the available financing options.',F
6,'The product shall display conference rooms according to search parameters.',F
38,'Responsible for informing administrator when any product item’s stock goes under the minimum level.',F
10,'For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.',F
7,'Product shall allow entering  storing and modifying product menus used by POS terminals.',F
4,'The Disputes System must be accessible by both internal and external users.',F
10,'Once a game is initiated  the product shall display a defensive grid to each player',F
21,'The online registration system is “self-service style” system that shall initially address the student registration needs.',F
7,'Product formulas shall allow use of semi-products  which have own formulas.',F
5,'The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.',F
6,'The product shall be able to store new room equipment.',F
46,'The system shall display all the available components of the product to configure.',F
